#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU334	0	0	2	0	0	0	0	3	15	8	9	1	0	0	4	0	1	0	0	0	0	3	0	0	2	2	0	1	12	0	4	0	0	13	6	3	18	4	2	46	26	13	8
OTU727	0	0	2	0	0	4	3	1	22	17	14	3	0	92	2	5	4	0	0	2	1	25	5	0	0	12	0	5	4	2	12	30	1	99	19	5	12	14	1	0	2	4	0
OTU843	0	0	2	1	1	0	0	1	2	3	1	2	1	1	0	1	0	0	0	0	0	0	0	2	0	0	1	3	1	34	0	0	0	7	0	0	1	0	1	1	0	0	0
OTU1284	0	0	2	0	2	9	10	2	0	0	0	1	0	14	0	31	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1
OTU827	0	0	1	1	2	2	0	2	4	6	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	1	4	2	0	0	0	1	0	0
OTU578	0	0	1	1	1	0	0	0	1	2	0	1	1	2	2	1	0	0	6	1	0	4	0	0	61	0	0	5	2	1	4	2	2	17	1	2	9	3	2	0	2	0	1
OTU1316	0	0	1	0	0	0	1	0	15	16	20	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU1136	0	0	1	0	1	0	0	4	50	40	49	0	0	3	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0
OTU642	0	0	2	0	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	59	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	1	0	1
OTU1228	0	0	1	0	0	0	0	1	11	12	10	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	6	0	1	2	2	0	1	0	0	1
OTU634	0	0	3	1	2	5	0	0	66	76	68	0	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	1	3	2	7	0	1	1	1	5	3	0	3	0	1	5	2
OTU562	0	0	1	0	1	1	0	2	126	161	70	5	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	3	2	3	0	0	3	2	1
OTU739	0	0	1	1	0	9	2	1	13	21	14	3	1	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	6	0	1	3	0	0	0	0	0	0
OTU947	0	0	1	0	0	0	3	1	36	20	16	0	1	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	1	0	1	0	0	2	3	2	2	3	0	0	0	1	1
OTU469	0	0	2	4	0	0	2	4	77	79	74	3	0	0	0	3	0	1	1	0	1	21	0	0	23	1	0	15	4	4	23	0	1	8	7	3	8	2	0	0	0	10	0
